11,3,5,30,3,17,
7,5,17,25,30,5,
0,15,3,25,21,5,
11,3,30,27,29,27,
27,30,13,10,3,14,
8,0,20,9,23,0,
17,25,30,13,25,23,
21,6,2,8,19,23,
7,30,30,19,12,17,
24,17,9,7,2,1,
30,0,30,0,8,22,
28,22,2,3,14,10,
26,11,17,27,11,2,
28,1,3,0,10,6,
4,21,0,5,1,21,
0,24,4,6,1,17,
15,30,23,24,5,26,
11,23,19,27,22,10,
1,15,12,27,13,16,
1,20,15,23,29,12,
4,1,20,10,25,15,
30,7,0,27,21,12,
3,18,21,14,27,17,
25,7,7,26,19,30,
22,0,10,2,8,5,
4,12,26,9,25,27,
2,6,18,2,30,13,
24,14,15,24,18,8,
3,30,20,6,24,4,
13,11,17,2,18,9,
7,8,29,25,27,7,
26,21,22,15,24,8,
13,28,11,19,24,28,
17,9,11,5,2,3,
23,1,16,28,16,14,
2,13,26,28,15,27,
9,6,17,4,21,8,
13,27,13,24,19,9,
22,8,8,19,2,19,
30,9,11,12,21,27,
14,4,4,24,18,0,
21,16,17,13,20,24,
3,23,19,5,23,9,
6,3,9,28,4,3,
6,5,21,12,9,9,
22,27,17,8,28,24,
29,28,0,26,29,20,
22,13,27,24,18,20,
6,22,16,11,2,10,
3,25,25,13,1,30,
7,21,15,8,0,28,
23,20,1,23,8,9,
21,13,0,17,12,11,
9,29,25,27,9,28,
28,10,29,25,3,15,
11,26,30,2,13,30,
2,14,1,14,19,23,
18,6,13,7,3,3,
22,15,14,12,29,13,
9,30,29,29,22,5,
22,11,22,12,5,21,
22,28,27,29,27,23,
21,15,6,13,6,13,
5,19,26,11,29,9,
15,29,17,27,11,6,
20,2,0,9,26,7,
13,8,25,18,2,5,
23,2,8,9,20,17,
5,15,10,30,16,0,
14,18,27,10,19,23,
19,27,23,22,26,17,
11,8,14,20,23,10,
28,8,3,11,29,16,
15,0,20,27,12,3,
17,26,1,19,20,0,
13,10,30,13,23,10,
25,9,28,11,19,13,
25,1,23,17,16,25,
26,28,18,9,20,14,
3,26,24,0,1,9,
29,19,0,18,10,17,
22,26,24,26,29,9,
5,15,6,5,8,26,
25,10,5,30,5,3,
22,11,24,22,15,15,
26,28,10,2,24,5,
14,17,19,19,8,29,
18,1,29,25,22,25,
30,4,0,11,16,9,
5,29,9,7,5,2,
15,22,25,22,16,15,
20,26,5,28,14,5,
21,8,14,23,14,17,
12,25,28,0,4,9,
13,26,18,28,29,14,
24,4,19,23,21,11,
7,10,18,19,25,11,
30,15,15,12,17,15,
23,25,9,28,3,15,
19,21,8,19,25,3,
15,22,12,5,8,8,
15,19,17,16,29,8,
24,12,1,18,1,21,
25,1,16,14,3,5,
10,24,3,18,16,10,
22,2,7,1,14,13,
19,27,16,19,11,2,
16,25,19,4,21,6,
9,2,17,30,5,26,
30,1,19,5,16,1,
3,10,5,23,17,27,
3,25,16,14,27,3,
0,21,12,14,20,29,
30,1,12,20,27,24,
23,19,9,12,15,20,
0,18,6,30,10,4,
6,11,10,7,20,26,
6,4,15,28,15,8,
14,16,24,22,5,27,
17,2,27,9,25,13,
25,8,9,24,3,21,
4,26,29,21,10,24,
18,20,14,28,11,1,
7,1,16,8,6,6,
29,3,21,20,7,8,
16,10,16,3,4,26,
10,2,23,9,23,28,
25,8,22,28,17,25,
22,30,7,24,0,14,
1,26,15,23,25,13,
22,4,18,1,27,8,
7,10,11,27,16,29,
5,30,2,16,18,26,
25,15,15,18,7,22,
18,2,10,23,16,7,
3,16,2,10,15,18,
27,27,1,8,23,30,
14,19,25,19,6,9,
3,25,2,20,26,16,
28,13,6,15,15,16,
29,19,2,4,12,29,
9,3,7,6,13,25,
7,15,19,26,27,3,
17,12,27,21,29,28,
14,15,15,27,12,0,
8,23,12,17,21,6,
19,22,2,5,13,30,
7,7,27,6,4,22,
3,21,11,1,2,17,
28,24,1,22,14,17,
5,30,28,9,18,4,
9,26,6,13,5,24,
23,29,14,9,26,5,
13,0,10,10,24,24,
18,18,29,20,11,28,
22,16,8,19,10,4,
10,24,3,30,26,14,
